ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
ol_OL16239762W,Gone Girl,Gillian Flynn,2011,Librairie générale française,9782298071177,Paperback,dut,https://openlibrary.org/books/OL49238644M
ol_OL16002468W,11/22/63,Stephen King,1925,Albin Michel,9788490321287,Paperback,dut,https://openlibrary.org/books/OL35619741M
ol_OL492647W,The Titan's Curse,Rick Riordan,2007, Hyperion Books for Children,9780329653484,Paperback,eng,https://openlibrary.org/books/OL52252576M
ol_OL41255W,Total control,David Baldacci,1996,Pan MacMillan Paperback Omes,9780330523332,Paperback,dut,https://openlibrary.org/books/OL48120742M
ol_OL23200W,The Moon is Down,John Steinbeck,1942,Ṣ. ʻAlīshāh,8804451092,Paperback,ita,https://openlibrary.org/books/OL6488137M
ol_OL22908W,Plum Island,Nelson De Mille,1997,Grand Central Publishing,9781415902073,Paperback,ita,https://openlibrary.org/books/OL47132580M
ol_OL41260W,Wish You Well,David Baldacci,2000,Zeta Bolsillo,1549116622,Paperback,dut,https://openlibrary.org/books/OL47225187M
ol_OL15212619W,Room,Emma Donoghue,2010,"Oberon Books, Limited",0316174629,Paperback,chi,https://openlibrary.org/books/OL50521968M
ol_OL59038W,Never Let Me Go,Kazuo Ishiguro,2005,Faber,9788433972743,Paperback,tur,https://openlibrary.org/books/OL50608404M
ol_OL19674W,Secrets,Danielle Steel,1985,Unknown,9021007916,Paperback,fin,https://openlibrary.org/books/OL45866770M
ol_OL2688555W,My father's dragon,Ruth Stiles Gannett,1948,Noah Text Publishing,9780486492834,Paperback,eng,https://openlibrary.org/books/OL9535468M
ol_OL15168588W,The Passage,Justin Cronin,2010,Cemetery Dance Publications,9781409107262,Paperback,ita,https://openlibrary.org/books/OL54072321M
ol_OL448878W,The Sum of All Fears,Tom Clancy,1991,Albin Michel,0440001056,Paperback,eng,https://openlibrary.org/books/OL47170754M
ol_OL8479867W,The Name of the Wind,Patrick Rothfuss,2007,"DAW Books, Inc.",0756413710,Paperback,heb,https://openlibrary.org/books/OL39220596M
ol_OL5725975W,Artemis Fowl. The Opal Deception,Eoin Colfer,2005,Perfection Learning,9780140918977,Paperback,pol,https://openlibrary.org/books/OL43638901M
ol_OL1914079W,World Without End,Ken Follett,1961,"Plaza & Janés Editores, S.A.",2298016941,Paperback,spa,https://openlibrary.org/books/OL37777236M
ol_OL137391W,The Amazing Interlude,Mary Roberts Rinehart,1918,Audio Book Contractors,9781458703705,Paperback,eng,https://openlibrary.org/books/OL51491477M
ol_OL679333W,Neverwhere,Neil Gaiman,1996,Roca,9780062821331,Paperback,ger,https://openlibrary.org/books/OL57727498M
ol_OL52953W,One Shot,Lee Child,2005,Uitgeverij Rainbow bv,1593555164,Paperback,pol,https://openlibrary.org/books/OL51709424M
