ID,ltable_id,rtable_id,ltable_Title,ltable_Author,ltable_Year,ltable_Publisher,ltable_ISBN,ltable_Format,ltable_Language,ltable_URL,rtable_Title,rtable_Author,rtable_Year,rtable_Publisher,rtable_ISBN,rtable_Format,rtable_Language,rtable_URL
509,ol_OL17357377W,gb_MK9oBgAAQBAJ,Circling the Sun,Paula McLain,2015,Ballantine Books,0345534182,Paperback,eng,https://openlibrary.org/books/OL25935299M,Circling the Sun,Paula McLain,2015,Hachette UK,9781405511674,Paperback,en,http://books.google.com/books?id=MK9oBgAAQBAJ&dq=pulitzer+prize+winner+book&hl=&as_pt=BOOKS&source=gbs_api
510,ol_OL16343415W,gb_isGAgptzD6wC,The healing,Wanda E. Brunstetter,2011,Barbour Pub.,1602606838,Paperback,eng,https://openlibrary.org/books/OL25132715M,The Healing,Wanda E. Brunstetter,2011,Barbour Publishing,9781607425403,Paperback,en,https://play.google.com/store/books/details?id=isGAgptzD6wC&source=gbs_api
511,ol_OL17094207W,gb_2SNtAAAAQBAJ,Redeployment,Phil Klay,2014,The Penguin Press,9781594204999,Paperback,eng,https://openlibrary.org/books/OL25664533M,Redeployment,Phil Klay,2014,Penguin,9780698151642,Paperback,en,https://play.google.com/store/books/details?id=2SNtAAAAQBAJ&source=gbs_api
512,ol_OL17188431W,gb_gLE1vbhmgFUC,Mastered By Love,Stephanie Laurens,2009,Avon,9780061246371,Paperback,eng,https://openlibrary.org/books/OL25760130M,Mastered By Love,Stephanie Laurens,2009,Harper Collins,9780061893124,Paperback,en,https://play.google.com/store/books/details?id=gLE1vbhmgFUC&source=gbs_api
513,ol_OL34738771W,gb_-0dHxAEACAAJ,The Family Upstairs,Lisa Jewell,2023,Pocket Books,9781668026519,Paperback,eng,https://openlibrary.org/books/OL47087438M,The Family Upstairs,Lisa Jewell,2019,Arrow,1787461483,Paperback,en,http://books.google.com/books?id=-0dHxAEACAAJ&dq=best+selling+thriller+books&hl=&as_pt=BOOKS&source=gbs_api
514,ol_OL34738771W,gb_s_10DwAAQBAJ,The Family Upstairs,Lisa Jewell,2023,Pocket Books,9781668026519,Paperback,eng,https://openlibrary.org/books/OL47087438M,The Family Upstairs,Lisa Jewell,2019,Random House,9781473561342,Paperback,en,http://books.google.com/books?id=s_10DwAAQBAJ&dq=best+selling+thriller+books&hl=&as_pt=BOOKS&source=gbs_api
515,ol_OL20126858W,gb_On5gDwAAQBAJ,Killer Insticts,James Patterson,2019,"Little, Brown and Company",0316420298,Paperback,eng,https://openlibrary.org/books/OL27306833M,Killer Instinct,James Patterson,2019,Hachette UK,9780316422345,Paperback,en,http://books.google.com/books?id=On5gDwAAQBAJ&dq=james+patterson+books&hl=&as_pt=BOOKS&source=gbs_api
516,ol_OL21777533W,gb_KM5ZEAAAQBAJ,All Summer Long,Susan Mallery,2012,"Harlequin Enterprises, Limited",9781459234536,Paperback,eng,https://openlibrary.org/books/OL29655130M,All Summer Long,Susan Mallery,2022,HQN Books,9780369722379,Paperback,en,https://play.google.com/store/books/details?id=KM5ZEAAAQBAJ&source=gbs_api
517,ol_OL21793144W,gb_rSDcjwEACAAJ,Evening Stars,Susan Mallery,2014,"Harlequin Enterprises, Limited",1460327047,Paperback,eng,https://openlibrary.org/books/OL29681487M,Evening Stars,Susan Mallery,2016,Blackberry Island,0778330664,Paperback,en,http://books.google.com/books?id=rSDcjwEACAAJ&dq=new+york+times+bestseller&hl=&as_pt=BOOKS&source=gbs_api
518,ol_OL21853081W,gb_OCZUDwAAQBAJ,California Girls,Susan Mallery,2019,"Harlequin Enterprises, Limited",1488088616,Paperback,eng,https://openlibrary.org/books/OL29791788M,California Girls,Susan Mallery,2019,MIRA,9781488088612,Paperback,en,https://play.google.com/store/books/details?id=OCZUDwAAQBAJ&source=gbs_api
519,ol_OL21917204W,gb_cqyRDwAAQBAJ,Sisters by Choice,Susan Mallery,2020,"Harlequin Enterprises, Limited",0778331385,Paperback,eng,https://openlibrary.org/books/OL29893749M,Sisters by Choice,Susan Mallery,2020,MIRA,9781488055386,Paperback,en,https://play.google.com/store/books/details?id=cqyRDwAAQBAJ&source=gbs_api
520,ol_OL14959805W,gb_KJTNrrRypEgC,The Vistor,Lee Child,2002,Soundings,9781860429163,Paperback,eng,https://openlibrary.org/books/OL8625990M,The Visitor,Lee Child,2008,Random House,9781407070421,Paperback,en,http://books.google.com/books?id=KJTNrrRypEgC&dq=best+selling+thriller+books&hl=&as_pt=BOOKS&source=gbs_api
521,ol_OL15662564W,gb_NX7MEAAAQBAJ,Wench,Dolen Perkins-Valdez,2011,Amistad,9780061706561,Paperback,eng,https://openlibrary.org/books/OL24595378M,Wench,Dolen Perkins-Valdez,2024,Hachette UK,9781399620338,Paperback,en,http://books.google.com/books?id=NX7MEAAAQBAJ&dq=new+york+times+bestseller&hl=&as_pt=BOOKS&source=gbs_api
522,ol_OL17561503W,gb_qfK5BAAAQBAJ,Blood Crime Graphic Novel,Kim Harrison,2012,Del Rey Books,0345521021,Paperback,eng,https://openlibrary.org/books/OL26151988M,Blood Crime (Graphic Novel),Kim Harrison,2012,Ballantine Group,9780345535290,Paperback,en,http://books.google.com/books?id=qfK5BAAAQBAJ&dq=new+york+times+bestseller&hl=&as_pt=BOOKS&source=gbs_api
