ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
ol_OL16821606W,All the Light We Cannot See,Anthony Doerr,2014,SUMA,9789585854949,Paperback,spa,https://openlibrary.org/books/OL57642987M
ol_OL40873W,The Road,Cormac McCarthy,2006,Random House Mondadori,1501260421,Paperback,cat,https://openlibrary.org/books/OL42969898M
ol_OL81602W,The Eyes of the Dragon,Stephen King,1959,Albatros,2226071431,Paperback,eng,https://openlibrary.org/books/OL35665277M
ol_OL46883W,Prey,Michael Crichton,2002,Recorded Books,0060874775,Paperback,chi,https://openlibrary.org/books/OL43379272M
ol_OL5725961W,Artemis Fowl and the Eternity Code,Eoin Colfer,2003,Debolsillo,9780241335611,Paperback,ger,https://openlibrary.org/books/OL53203534M
ol_OL5819895W,Eragon,Christopher Paolini,1998,ROCA EDITORIAL DE LIBROS,9780739330944,Paperback,spa,https://openlibrary.org/books/OL52949487M
ol_OL14871157W,Der Vorleser,Bernhard Schlink,1995,"Adobe Systems, Incorporated",3257060653,Paperback,spa,https://openlibrary.org/books/OL43321699M
ol_OL15833328W,Stardust,Neil Gaiman,1997,MAG,006009723X,Paperback,spa,https://openlibrary.org/books/OL43523367M
ol_OL81597W,Cell,Stephen King,2006,Albatros,9780340921449,Paperback,eng,https://openlibrary.org/books/OL47250530M
ol_OL167189W,1st to Die,James Patterson,2001,Grand Central Publishing,1472243455,Paperback,swe,https://openlibrary.org/books/OL7600973M
ol_OL50564W,Song of Solomon,Toni Morrison,1634,Vintage International,045225244X,Paperback,eng,https://openlibrary.org/books/OL26589717M
ol_OL27471W,The Children of Húrin,J.R.R. Tolkien,2001,Timun Mas Narrativa,9780618894642,Paperback,ita,https://openlibrary.org/books/OL50721900M
ol_OL449277W,Frog and Toad Are Friends,Arnold Lobel,1920,Egmont Childrens Books,9780603558795,Paperback,ita,https://openlibrary.org/books/OL41526016M
ol_OL257939W,A Clash of Kings,George R. R. Martin,1998,Voyager,9781613832783,Paperback,chi,https://openlibrary.org/books/OL40222412M
ol_OL265426W,Looking for Alaska,John Green,2005,Fabbri,1435249151,Paperback,fre,https://openlibrary.org/books/OL35380965M
ol_OL50565W,The Bluest Eye,Toni Morrison,1970,Rowohlt Tb.,1784876445,Paperback,fre,https://openlibrary.org/books/OL50524016M
ol_OL16224122W,Cabin Fever,Jeff Kinney,2007,Rily,9781804160299,Paperback,cat,https://openlibrary.org/books/OL56934369M
ol_OL16805415W,Americanah,Chimamanda Ngozi Adichie,1969,Mu Ma Wen Hua,9780007526024,Paperback,tur,https://openlibrary.org/books/OL50564124M
ol_OL2435522W,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,1997,Turtleback Books,9780349119083,Paperback,dut,https://openlibrary.org/books/OL39196607M
ol_OL30052W,Moods,Louisa May Alcott,1864,Roberts Brothers,1980599343,Paperback,eng,https://openlibrary.org/books/OL49034999M
ol_OL19568W,Der Ring Aus Stein,Danielle Steel,1980,AST,1410429121,Paperback,tur,https://openlibrary.org/books/OL47060197M
ol_OL453735W,Guards! Guards!,Terry Pratchett,1989,Isis Audio Books,0451450892,Paperback,dut,https://openlibrary.org/books/OL50726766M
ol_OL16142094W,Wonder,R. J. Palacio,2001,Miputa,9780553509977,Paperback,chi,https://openlibrary.org/books/OL41380147M
ol_OL16547664W,Bring Up the Bodies,Hilary Mantel,2012,Todavia,9781250077608,Paperback,spa,https://openlibrary.org/books/OL57531662M
ol_OL17878702W,Origin,Dan Brown,2013,Random House US,9722534203,Paperback,spa,https://openlibrary.org/books/OL52914286M
ol_OL42740W,War Horse,Michael Morpurgo,1982,Egmont UK,1616574852,Paperback,kor,https://openlibrary.org/books/OL47321571M
ol_OL52943W,Killing floor,Lee Child,1997,Bantam Books,9780754022282,Paperback,ger,https://openlibrary.org/books/OL43103048M
ol_OL46887W,Rising Sun,Michael Crichton,1991,NXB Văn học,9780780735095,Paperback,chi,https://openlibrary.org/books/OL45915908M
ol_OL5784622W,Män som hatar kvinnor,Stieg Larsson,2005,,9780143170099,Paperback,swe,https://openlibrary.org/books/OL49807343M
ol_OL15845961W,Wild Swans,Jung Chang,1991,Doubleday,0007176155,Paperback,fre,https://openlibrary.org/books/OL49235481M
ol_OL41246W,Split Second,David Baldacci,2003,Macmillan,9780446614061,Paperback,dut,https://openlibrary.org/books/OL50321118M
ol_OL5782000W,A Thousand Splendid Suns,Khaled Hosseini,2007,Salamandra,3596030935,Paperback,swe,https://openlibrary.org/books/OL53064931M
ol_OL17714701W,The Hate U Give,Angie Thomas,2017,Gran Travsía,9789863614654,Paperback,fre,https://openlibrary.org/books/OL42754649M
ol_OL46914W,State of Fear,Michael Crichton,2004,Avon Books,0007201443,Paperback,ger,https://openlibrary.org/books/OL46524884M
ol_OL66218W,Wicked,Gregory Maguire,1995,Tandem Library,0062853198,Paperback,kor,https://openlibrary.org/books/OL57569559M
ol_OL137390W,The Breaking Point,Mary Roberts Rinehart,1922,CreateSpace Independent Publishing Platform,9781636376639,Paperback,eng,https://openlibrary.org/books/OL49334271M
ol_OL5725964W,Artemis Fowl and the Arctic Incident,Eoin Colfer,2001,Debolsillo,0754065847,Paperback,ger,https://openlibrary.org/books/OL49206169M
ol_OL891923W,My Sister's Keeper,Jodi Picoult,2004,Allen & Unwin Pty Ltd,9781416575245,Paperback,chi,https://openlibrary.org/books/OL48120707M
ol_OL4321141W,The Secret History,Donna Tartt,1992,Anthos,8401327946,Paperback,dut,https://openlibrary.org/books/OL56978555M
ol_OL4082696W,The Corrections,Jonathan Franzen,2001,HarperPerennial,0008503931,Paperback,spa,https://openlibrary.org/books/OL57416784M
ol_OL16804661W,The Ocean at the End of the Lane,Neil Gaiman,2013,Ithaki,841572957X,Paperback,pol,https://openlibrary.org/books/OL47538201M
ol_OL15192743W,The Ugly Truth,Jeff Kinney,2001,Molino RBA,9789026132377,Paperback,bul,https://openlibrary.org/books/OL49376080M
