ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
gb_ycNXAAAAYAAJ,"The ""goldfish""",Arthur Train,1921,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=ycNXAAAAYAAJ&source=gbs_api
gb_63Hwcaw9FcwC,Authors Digest,Rossiter Johnson,1927,,,Paperback,en,https://play.google.com/store/books/details?id=63Hwcaw9FcwC&source=gbs_api
gb_t0oeAAAAMAAJ,Mary-'Gusta,Joseph Crosby Lincoln,1916,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=t0oeAAAAMAAJ&source=gbs_api
gb_v0haAAAAMAAJ,It's Been a Good Life,Isaac Asimov,2002,,,Paperback,en,http://books.google.com/books?id=v0haAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_tw1aAAAAMAAJ,The Professor and the Profession,Robert Bechtold Heilman,1999,,,Paperback,en,http://books.google.com/books?id=tw1aAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_ZkZDAQAAMAAJ,The Complete Works of O. Henry,O. Henry,1911,,,Paperback,en,https://play.google.com/store/books/details?id=ZkZDAQAAMAAJ&source=gbs_api
gb_mTnUsi-jxD4C,101 Tips on Writing and Selling Your First Novel,Prudy Taylor Board,2003,iUniverse,0595293131,Paperback,en,http://books.google.com/books?id=mTnUsi-jxD4C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_i7pNAAAAMAAJ,The Fiction Writer's Research Handbook,Mona McCormick,1988,Plume Books,,Paperback,en,http://books.google.com/books?id=i7pNAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_9CckAQAAMAAJ,Where Am I Now - when I Need Me?,George Axelrod,1971,,,Paperback,en,http://books.google.com/books?id=9CckAQAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_4RRBAQAAIAAJ,The Only True History: Collected Interviews and Other Pieces,Terry Coleman,1969,,,Paperback,en,http://books.google.com/books?id=4RRBAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_m9QbAQAAIAAJ,"Popular World Fiction, 1900-present: A-De","Walton Beacham, Suzanne Niemeyer",1987,Beacham Publishing Corporation,,Paperback,en,http://books.google.com/books?id=m9QbAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_rrxWAAAAYAAJ,Beacham's Encyclopedia of Popular Fiction,Kirk H. Beetz,1996,,,Paperback,en,http://books.google.com/books?id=rrxWAAAAYAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_kWcqAQAAIAAJ,"Popular World Fiction, 1900-present: Do-La","Walton Beacham, Suzanne Niemeyer",1987,,,Paperback,en,http://books.google.com/books?id=kWcqAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_2rBbAAAAMAAJ,Hudson River Bracketed,Edith Wharton,1929,New York : D. Appleton,,Paperback,en,https://play.google.com/store/books/details?id=2rBbAAAAMAAJ&source=gbs_api
gb_ygQIAQAAMAAJ,Snow Falling on Cedars,"Ronald Bass, Scott Hicks, Kathleen Kennedy",1999,Newmarket Shooting Scripts,,Paperback,en,http://books.google.com/books?id=ygQIAQAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_R_bJKVWXvQ8C,Sacrifice,Harold Carlton,1991,Bantam,0553353268,Paperback,en,http://books.google.com/books?id=R_bJKVWXvQ8C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_9qEWAAAAYAAJ,The Fiction Factory,William Wallace Cook,1912,,,Paperback,en,https://play.google.com/store/books/details?id=9qEWAAAAYAAJ&source=gbs_api
gb_DRaFAAAAIAAJ,The Creative Writer's Handbook,Isabelle Ziegler,1975,HarperResource,,Paperback,en,http://books.google.com/books?id=DRaFAAAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_bYzxLtaNOdsC,The Proving,Thomas Szollosi,1989,Avon Books,0380707888,Paperback,en,http://books.google.com/books?id=bYzxLtaNOdsC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_pf8pAAAAYAAJ,The Failure of Feminism,Nicholas Davidson,1988,,,Paperback,en,http://books.google.com/books?id=pf8pAAAAYAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_DvBcAAAAMAAJ,I Spit on Your Graves,Boris Vian,2001,Canongate Books,,Paperback,en,http://books.google.com/books?id=DvBcAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_MP4OAQAAMAAJ,Edgar Rice Burroughs,Erling B. Holtsmark,1986,Boston : Twayne Publishers,,Paperback,en,http://books.google.com/books?id=MP4OAQAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_83FnDht2SBAC,Dead Matter,Steven Frimmer,1983,John Curley & Associates,0893405728,Paperback,en,http://books.google.com/books?id=83FnDht2SBAC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_n3ztAAAAMAAJ,Certain Success,Norval Abiel Hawkins,1920,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=n3ztAAAAMAAJ&source=gbs_api
gb_lBwVQ3xFaD8C,What Do I Read Next? 1995,"Barron, Steven A. Stilwell",1995,Gale / Cengage Learning,0810391465,Paperback,en,http://books.google.com/books?id=lBwVQ3xFaD8C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_0tmU6V2h5SMC,Wise and Otherwise,Isabella Macdonald Alden,1996,Living Books,0842331832,Paperback,en,http://books.google.com/books?id=0tmU6V2h5SMC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_K4onAQAAMAAJ,Complete Collected Essays,Victor Sawdon Pritchett,1991,,,Paperback,en,http://books.google.com/books?id=K4onAQAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_C1AgAQAAIAAJ,Laugh Lines,Ben Bova,2008,,,Paperback,en,http://books.google.com/books?id=C1AgAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_hyVqB1Eg1g4C,This Incredible Century,Norman Vincent Peale,1993,,0842370935,Paperback,en,http://books.google.com/books?id=hyVqB1Eg1g4C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_VcEbAQAAIAAJ,The Complete Guide to Writing Fiction,Barnaby Conrad,1990,,,Paperback,en,http://books.google.com/books?id=VcEbAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_GhO5mxH6RgEC,Four Girls at Chautauqua,Isabella Macdonald Alden,1996,Living Books,0842331867,Paperback,en,http://books.google.com/books?id=GhO5mxH6RgEC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_GLllAAAAMAAJ,The Dreaming Game,Philip B. Kunhardt,2004,,,Paperback,en,http://books.google.com/books?id=GLllAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_FknQAAAAMAAJ,Marriage À la Mode,Mrs. Humphry Ward,1909,,,Paperback,en,https://play.google.com/store/books/details?id=FknQAAAAMAAJ&source=gbs_api
gb_U7iwAAAAIAAJ,Simple Speaks His Mind,Langston Hughes,1976,,,Paperback,en,http://books.google.com/books?id=U7iwAAAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_us5aAAAAMAAJ,The Early Simple Stories,Langston Hughes,2002,,,Paperback,en,http://books.google.com/books?id=us5aAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_HMZZAAAAMAAJ,"First Person; Conversations on Writers & Writing with Glenway Wescott, John Dos Passos, Robert Penn Warren, John Updike, John Barth, Robert Coover",Frank Gado,1973,,,Paperback,en,http://books.google.com/books?id=HMZZAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_bt5ZAAAAMAAJ,The Rise of American Jewish Literature,"Charles Angoff, Meyer Levin",1970,Simon & Schuster,,Paperback,en,http://books.google.com/books?id=bt5ZAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_KJnQAAAAMAAJ,Fiction Catalog,H.W. Wilson Company,1923,,,Paperback,en,https://play.google.com/store/books/details?id=KJnQAAAAMAAJ&source=gbs_api
gb_GjUmAQAAMAAJ,Dear Reader,Garrett Stewart,1996,,,Paperback,en,http://books.google.com/books?id=GjUmAQAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_CRNbAAAAMAAJ,Correspondent Colorings,Sheila Post-Lauria,1996,,,Paperback,en,http://books.google.com/books?id=CRNbAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_z1WU-lx4WVkC,Second Chance,Jerome Dyson Wright,1986,,0870678345,Paperback,en,http://books.google.com/books?id=z1WU-lx4WVkC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_XTEeAQAAIAAJ,Skin of the Soul,Lisa Tuttle,1990,,,Paperback,en,http://books.google.com/books?id=XTEeAQAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_U5Oqc5PGrmkC,American Icon,Pat Booth,2000,,1575665646,Paperback,en,http://books.google.com/books?id=U5Oqc5PGrmkC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_z1F5VGhmFTkC,Born to the Brand,D. B. Newton,2003,,0843952466,Paperback,en,http://books.google.com/books?id=z1F5VGhmFTkC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_f0dZAAAAMAAJ,Master Class,Paul West,2001,Houghton Mifflin,,Paperback,en,http://books.google.com/books?id=f0dZAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_d9kYAAAAYAAJ,The Little Grey House,Marion Ames Taggart,1904,Createspace Independent Publishing Platform,,Paperback,en,https://play.google.com/store/books/details?id=d9kYAAAAYAAJ&source=gbs_api
gb_Wp2wAAAAIAAJ,In Such a Night,Babette Deutsch,1927,,,Paperback,en,https://play.google.com/store/books/details?id=Wp2wAAAAIAAJ&source=gbs_api
gb_XBxAAAAAYAAJ,The Doctor Looks at Literature,Joseph Collins,1923,Kennikat Press,,Paperback,en,https://play.google.com/store/books/details?id=XBxAAAAAYAAJ&source=gbs_api
